                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2832,                0.78938,                   1.17,                 0.9117,                0.86576,                0.92851,                0.63172,                 1.1409,                0.60785,                 1.0763,               0.001882,               0.001882,               0.001882
                     84,                 1.2719,                0.78148,                 1.1646,                0.91188,                0.86576,                 0.9287,                0.63248,                 1.1401,                0.60742,                 1.0757,               0.001783,               0.001783,               0.001783
                     85,                 1.2679,                0.78034,                 1.1615,                0.91245,                0.86613,                0.92905,                0.63278,                 1.1398,                0.60673,                 1.0757,               0.001684,               0.001684,               0.001684
                     86,                 1.2635,                0.77587,                 1.1574,                0.91207,                0.86668,                0.92831,                0.63267,                  1.139,                0.60611,                 1.0751,               0.001585,               0.001585,               0.001585
                     87,                 1.2597,                0.76984,                 1.1573,                0.91496,                0.86494,                0.92847,                0.63311,                 1.1386,                0.60562,                 1.0747,               0.001486,               0.001486,               0.001486
                     88,                 1.2599,                0.77208,                 1.1543,                0.91524,                0.86606,                 0.9289,                0.63374,                 1.1379,                0.60503,                 1.0743,               0.001387,               0.001387,               0.001387
                     89,                 1.2503,                0.76446,                 1.1519,                0.91584,                0.86595,                0.92911,                0.63411,                 1.1372,                0.60423,                 1.0739,               0.001288,               0.001288,               0.001288
                     90,                 1.2505,                0.76135,                 1.1524,                 0.9161,                0.86567,                0.92953,                0.63478,                 1.1365,                0.60392,                 1.0736,               0.001189,               0.001189,               0.001189
                     91,                 1.2086,                0.67267,                 1.1252,                0.91704,                0.86604,                0.92967,                0.63483,                 1.1359,                0.60343,                 1.0732,                0.00109,                0.00109,                0.00109
                     92,                 1.1874,                0.65641,                 1.1142,                0.91582,                0.86854,                0.92993,                0.63506,                 1.1348,                0.60315,                 1.0725,               0.000991,               0.000991,               0.000991
                     93,                 1.1743,                0.64771,                 1.1099,                0.91607,                0.86929,                0.93078,                 0.6359,                 1.1343,                0.60229,                 1.0722,               0.000892,               0.000892,               0.000892
                     94,                 1.1649,                0.64316,                 1.1059,                0.91503,                 0.8704,                 0.9312,                0.63618,                 1.1337,                 0.6015,                 1.0719,               0.000793,               0.000793,               0.000793
                     95,                 1.1605,                0.63837,                 1.1055,                0.91669,                0.87027,                0.93131,                0.63625,                 1.1334,                0.60069,                 1.0715,               0.000694,               0.000694,               0.000694
                     96,                 1.1514,                0.63163,                 1.1013,                0.91752,                0.86948,                0.93137,                0.63659,                 1.1325,                0.59973,                 1.0711,               0.000595,               0.000595,               0.000595
                     97,                  1.142,                0.62671,                 1.0962,                0.91626,                0.86948,                0.93166,                0.63649,                 1.1323,                0.59916,                 1.0708,               0.000496,               0.000496,               0.000496
                     98,                 1.1364,                0.62711,                 1.0934,                0.91691,                0.86873,                0.93189,                0.63709,                 1.1322,                0.59882,                 1.0707,               0.000397,               0.000397,               0.000397
                     99,                 1.1289,                0.61934,                 1.0891,                0.91638,                0.86873,                0.93202,                0.63723,                 1.1316,                0.59846,                 1.0702,               0.000298,               0.000298,               0.000298
                    100,                 1.1246,                0.61805,                 1.0883,                 0.9173,                0.86892,                  0.932,                0.63782,                 1.1312,                0.59761,                 1.0699,               0.000199,               0.000199,               0.000199
